web-scraper-order,web-scraper-start-url,name,rating
"1615496368-14","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkVsJTIwUmVmdWdpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUpnVzJ1OW5kYzA0VVJoc09pVjFaTlctSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42NTM2MDg0JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zNDY5ODI2JTdE","Nuut Grill","New"
"1615496379-41","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE","Sinatra 351","New"
"1615496401-169","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D","Jaguaryou","New"
"1615496401-151","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D","MAMBA Pizza Co. (Pie de la Cuesta)","4.7"
"1615496401-162","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D","Pizzas Dio ""Villas del Parque""","New"
"1615496411-280","https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNlbnRybyUyMEhpc3QlQzMlQjNyaWNvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSjljZTVqUzViMDRVUlF5ZjBkdkg4TUpvJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMmdvb2dsZV9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzIyNjclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM4OTU1MzMlN0Q%3D&q=pizza","Sushi Roll (Punta Victoria)","4.7"
"1615496390-102","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkp1cmlxdWlsbGElMjBTYW50YSUyMEZlJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyMGUxOWIwYjAtYzIzMi00YTljLWQ0YTctM2ZmZjI0ODkwNjk0JTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMnViZXJfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC42OTQ1Njc1JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC40NDIxMzUlN0Q%3D","Sbarro Antea Queretaro","4.7"
"1615496401-179","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D","Frumbo","4.8"
"1615496401-166","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D","Cheeseup pizza","New"
"1615496401-195","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D","Squisito pizza","New"
"1615496411-239","https://www.ubereats.com/search?pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNlbnRybyUyMEhpc3QlQzMlQjNyaWNvJTIyJTJDJTIycmVmZXJlbmNlJTIyJTNBJTIyQ2hJSjljZTVqUzViMDRVUlF5ZjBkdkg4TUpvJTIyJTJDJTIycmVmZXJlbmNlVHlwZSUyMiUzQSUyMmdvb2dsZV9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzIyNjclMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM4OTU1MzMlN0Q%3D&q=pizza","Boyo´s Pizza Centro","New"
"1615496401-177","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMiVDMyU4MWxhbW9zJTIwZGVsJTIwTGFnbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMjM4NDIxNTEzLWExODUtNzMwZi01YWM3LTJiZmFmMjQyOTU3MCUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJ1YmVyX3BsYWNlcyUyMiUyQyUyMmxhdGl0dWRlJTIyJTNBMjAuNjI0NDk3NyUyQyUyMmxvbmdpdHVkZSUyMiUzQS0xMDAuNDAyNjglN0Q%3D","Nuriko Sushi Express Universidad","4.5"
"1615496379-78","https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMk1pbGVuaW8lMjBJSUklMjBRdWVyZXRhcm8lMjIlMkMlMjJyZWZlcmVuY2UlMjIlM0ElMjJlMjdhYTBiMS03MGRlLTBhYTYtNzFlYy0yMDQ0NGY0OWE4Y2QlMjIlMkMlMjJyZWZlcmVuY2VUeXBlJTIyJTNBJTIydWJlcl9wbGFjZXMlMjIlMkMlMjJsYXRpdHVkZSUyMiUzQTIwLjU5MzExOTMlMkMlMjJsb25naXR1ZGUlMjIlM0EtMTAwLjM0OTM2JTdE","Gab’s","New"
